[[<module 'oppgave1.export154' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export154.py'>, TypeError("'type' object is not subscriptable")]]
[[<module 'oppgave1.export45' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export45.py'>, TypeError("'int' object is not subscriptable")]]
[[<module 'oppgave1.export23' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export23.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export156' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export156.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export60' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export60.py'>, UnboundLocalError("local variable 'total' referenced before assignment")]]
[[<module 'oppgave1.export209' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export209.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export6' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export6.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export268' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export268.py'>, AssertionError('10 != 15')]]
[[<module 'oppgave1.export125' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export125.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export14' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export14.py'>, AssertionError('9 != 15')]]
[[<module 'oppgave1.export57' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export57.py'>, NameError("name 's' is not defined")]]
[[<module 'oppgave1.export212' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export212.py'>, AssertionError('8 != 15')]]
[[<module 'oppgave1.export224' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export224.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export161' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export161.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave1.export120' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave1/export120.py'>, AssertionError('0 != 15')]]
[[<module 'oppgave2.export163' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export163.py'>, NameError("name 'persontransport' is not defined")]]
[[<module 'oppgave2.export112' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export112.py'>, NameError("name 'wf' is not defined")]]
[[<module 'oppgave2.export204' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export204.py'>, NameError("name 'true' is not defined")]]
[[<module 'oppgave2.export70' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export70.py'>, AssertionError('None is not true : M3')]]
