[[<module 'oppgave1.export1150' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1150.py'>, AttributeError("'builtin_function_or_method' object has no attribute 'numlist'")]]
[[<module 'oppgave1.export666' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export666.py'>, AssertionError('0 != 11')]]
[[<module 'oppgave1.export1165' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1165.py'>, AssertionError('0 != 11')]]
[[<module 'oppgave1.export162' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export162.py'>, AssertionError('7 != 11')]]
[[<module 'oppgave1.export146' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export146.py'>, AttributeError("'NoneType' object has no attribute 'remove'")]]
[[<module 'oppgave1.export904' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export904.py'>, TypeError("argument of type 'int' is not iterable")]]
[[<module 'oppgave1.export487' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export487.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export564' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export564.py'>, NameError("name 'i' is not defined")]]
[[<module 'oppgave1.export784' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export784.py'>, NameError("name 'numlilist' is not defined")]]
[[<module 'oppgave1.export678' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export678.py'>, AssertionError('14 != 11')]]
[[<module 'oppgave1.export652' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export652.py'>, AssertionError('14 != 11')]]
[[<module 'oppgave1.export1249' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1249.py'>, AssertionError('4 != 11')]]
[[<module 'oppgave1.export429' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export429.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export847' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export847.py'>, AssertionError('14 != 11')]]
[[<module 'oppgave1.export353' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export353.py'>, TypeError("'list' object cannot be interpreted as an integer")]]
[[<module 'oppgave1.export1204' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1204.py'>, TypeError("'NoneType' object is not iterable")]]
[[<module 'oppgave1.export780' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export780.py'>, AttributeError("'list' object has no attribute 'replace'")]]
[[<module 'oppgave1.export553' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export553.py'>, TypeError("'NoneType' object is not iterable")]]
[[<module 'oppgave1.export612' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export612.py'>, TypeError("'list' object cannot be interpreted as an integer")]]
[[<module 'oppgave1.export431' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export431.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export452' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export452.py'>, TypeError('can only concatenate list (not "int") to list')]]
[[<module 'oppgave1.export623' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export623.py'>, NameError("name 'i' is not defined")]]
[[<module 'oppgave1.export878' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export878.py'>, TypeError("argument of type 'int' is not iterable")]]
[[<module 'oppgave1.export552' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export552.py'>, TypeError("'list' object cannot be interpreted as an integer")]]
[[<module 'oppgave1.export20' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export20.py'>, AssertionError('10 != 11')]]
[[<module 'oppgave1.export86' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export86.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export839' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export839.py'>, ValueError('list.remove(x): x not in list')]]
[[<module 'oppgave1.export1027' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1027.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export962' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export962.py'>, TypeError("'NoneType' object is not iterable")]]
[[<module 'oppgave1.export333' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export333.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export736' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export736.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export89' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export89.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export305' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export305.py'>, AssertionError('3 != 11')]]
[[<module 'oppgave1.export364' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export364.py'>, AssertionError('6 != 11')]]
